stage,Cardiomyocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,36.78,4.09,0,0,8.17,0,0,0,4.09,0,0
72hpf,0,3.21,0,0,0,0,0,0,0,0,44.93,0,1.07,2.14,2.14,0,0,0,0,0,0
21Day,0,42.83,0,0,0,0,0,1.34,0,0,16.06,1.34,2.68,1.34,5.35,0,2.68,1.34,1.34,0,0
3Month,0,26.24,0.32,0.32,0.96,1.6,0.32,0.64,0.32,1.28,4.16,0,0,0,0,0.64,0,0,0,0.32,0.32
22Month,0.55,3.28,0,0,0.55,1.64,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0
