stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,4.09,12.26,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,4.09,8.17,0,0,0,0,65.38,0,0,4.09,0,0,0,0,0,0,0
72hpf,2.14,1.07,0,2.14,3.21,0,0,0,0,0,0,0,0,0,1.07,0,0,2.14,0,8.56,0,0,0,51.35,18.19,0,0,3.21,0,0,4.28,0,0,0,0
21Day,2.68,0,0,5.35,2.68,0,1.34,0,0,1.34,0,0,2.68,0,0,0,0,0,1.34,6.69,0,0,1.34,20.08,10.71,0,1.34,2.68,1.34,0,1.34,0,1.34,0,0
3Month,0.32,1.28,0,1.6,0,0,0,0.32,0,0.32,0,0,17.28,0,0,0.64,0,0.32,0.64,1.92,0.32,0,0.64,0,0,0.32,0,0,0,0.64,0.32,0,0,0.96,0
22Month,0,6.01,0.55,10.39,0,0.55,0,0,1.64,6.01,4.92,0,142.68,4.92,2.73,28.43,1.09,1.64,12.03,22.41,1.64,3.28,2.19,0.55,0,2.19,3.28,1.64,0,0.55,2.19,1.09,0,0.55,1.09
