stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21,1.07,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0
21Day,4.02,0,4.02,1.34,0,0,10.71,0,0,0,14.72,0,0,1.34,131.18,2.68,0,0,0,0,4.02,0,0,0,0,1.34,1.34,0,0,0,0,0,18.74
3Month,0.32,0.64,12.48,0,0.64,1.6,77.43,0,6.4,36.79,1.92,4.8,1.28,1.92,164.77,3.52,1.28,0.32,0.32,0.64,0,0.64,0.96,0.96,0,0,1.28,0.32,3.84,0,2.24,1.6,169.25
22Month,0,0.55,4.92,0,1.09,0,80.36,1.64,14.21,9.84,1.64,2.19,0,0.55,104.96,2.73,0,0.55,0,0,0,0,0.55,0.55,0.55,0,0,0,1.64,1.09,0,0,92.93
