stage,Epithelial_cell,Goblet_cell,Hepatocyte,Keratinocyte,Macrophage,Spermatocyte,T_cell
72hpf,0,0,0,2.14,0,0,0
21Day,0,0,0,1.34,0,0,0
3Month,0.32,0.32,0.64,0,0,0.32,0
22Month,0,0,0.55,0,0.55,0,0.55
