stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,4.09,0,0,0,0
72hpf,0,0,0,2.14,0,0,0,0,0,0,0,0,0,3.21,1.07,0,0,0,0
21Day,0,0,0,1.34,0,0,0,0,1.34,0,0,0,0,2.68,1.34,0,0,0,0
3Month,0,0,1.6,0,0,2.56,0,0.96,0.96,0,0,0.32,0.64,0.32,0,0.32,0.32,0.96,1.92
22Month,0.55,0.55,2.73,0,1.64,21.32,0.55,4.92,0,1.09,1.09,0,0,0,0,0,0,0,0
