stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,12.26,0,0,0,20.43,0,0,0,0,0,0,0,0,0
72hpf,4.28,1.07,0,1.07,0,0,0,0,3.21,0,7.49,0,0,62.05,9.63,4.28,2.14,0,0,6.42,0,3.21,0,0
21Day,1.34,0,10.71,13.39,0,0,0,0,2.68,0,12.05,1.34,5.35,20.08,1.34,5.35,1.34,1.34,0,8.03,1.34,2.68,0,0
3Month,3.2,0.32,1.28,1.28,0.64,3.52,0.96,0.64,0.32,0,0.64,1.92,0.96,6.08,0,13.76,0,0,13.76,0.32,0,0.96,5.12,0.32
22Month,1.09,0,0.55,0,0.55,1.64,0,0.55,0.55,0.55,1.09,0.55,0,4.37,0,12.03,0.55,0,13.67,1.09,0,0,0,0
