stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,8.17,49.04,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,27.81,3.21,0,11.77,3.21,14.98,0,0,0,0,0,0,0,0,2.14,0,5.35,37.44,3.21,33.16,0,0,1.07,2.14,1939.53,190.42,2.14,86.65,32.09,1.07,0,322.01,0,3.21,5.35,0,0,0
21Day,5.35,0,0,14.72,0,4.02,0,1.34,0,0,0,0,0,0,6.69,0,1.34,12.05,2.68,52.2,0,0,5.35,0,278.41,46.85,4.02,30.79,10.71,8.03,0,111.1,2.68,1.34,2.68,0,0,1.34
3Month,0,0.96,0.32,11.84,0,0,0.32,0,0.32,2.88,1.92,0,7.36,1.92,0.64,2.24,0.32,4.48,10.24,6.08,0.32,0,0.32,0,3.52,0.96,2.24,1.92,0.32,0.32,27.2,1.92,0,0,0.64,1.28,12.16,1.6
22Month,0.55,2.73,0,29.52,1.09,0,1.09,0,0,6.01,2.19,2.19,26.79,1.64,2.19,2.73,0,0,4.92,7.65,0,0.55,6.56,0,6.01,0.55,3.28,2.19,0,0.55,11.48,7.65,1.09,0,0,0,0,0
