stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,0,0
21Day,1.34,0,1.34,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0
3Month,0,0.32,0,0,0.64,0,0,0.32,0.32,0,0.32,0.32,0,0,0.32,0.32,0.32
22Month,0,0.55,0,0.55,4.92,0.55,0.55,1.64,0,0.55,1.09,1.09,0,0,1.09,0,0
