stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,8.17,12.26,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,49.04,4.09,0,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,8.56,2.14,2.14,0,4.28,0,1.07,1.07,0,0,0,0,1.07,8.56,0,10.7,0,2.14,0,0,1189.61,33.16,3.21,5.35,0,9.63,0,0,6.42,2.14,0,0,0,0,0
21Day,8.03,5.35,21.42,4.02,16.06,0,1.34,1.34,1.34,0,21.42,1.34,1.34,12.05,5.35,24.09,0,0,0,0,606.36,9.37,4.02,4.02,0,4.02,10.71,1.34,2.68,13.39,13.39,4.02,0,0,6.69
3Month,0,0.32,6.08,0.32,0,0.96,0,1.6,7.36,1.28,0,1.6,0,3.84,3.2,2.56,0.64,0,0.64,0.32,3.2,0.32,3.2,0,0,0,0.96,1.6,0,0.32,0,0.32,0.32,0.32,12.48
22Month,0.55,0.55,7.65,0,0,0.55,0.55,2.19,25.15,2.73,0.55,4.37,0.55,1.09,6.01,8.2,0,1.09,0.55,0,23.51,0,6.56,0,0.55,0.55,1.09,12.03,3.28,0,0,0,0,0,17.49
