stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,12.26,0,32.69,4.09,0,0,0,0,0,8.17,0,0,0,0,0,40.86,36.78,44.95,0,0,0,0,8.17,474.02,0,0,20.43,0,0,0,0,4.09,0,0,0
72hpf,2.14,3.21,0,7.49,1.07,1.07,0,0,0,0,0,0,0,1.07,0,8.56,12.84,5.35,22.47,0,1.07,1.07,0,71.68,56.7,0,1.07,11.77,1.07,0,4.28,0,0,0,0,0
21Day,20.08,1.34,1.34,84.33,0,16.06,18.74,0,8.03,0,0,4.02,6.69,17.4,1.34,8.03,16.06,29.45,68.27,0,0,6.69,0,60.23,54.88,0,0,30.79,6.69,5.35,8.03,2.68,1.34,1.34,0,18.74
3Month,0,0.96,0.32,8,0,0,0,0.96,5.12,0,0,13.76,8.64,0,3.52,0.96,1.92,5.12,3.84,0.64,0,0.32,0.64,0.32,0,0.64,0,0,0.64,5.12,0,0,0,1.6,0.64,8
22Month,0.55,0.55,0,3.28,0,0,0,0.55,7.11,0.55,0,38.81,2.19,1.64,5.47,0,0,8.2,1.09,0,1.09,1.09,0,1.09,0,0.55,1.64,0,0.55,0.55,0,0,0,0,0,2.73
