stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,32.69,0,20.43,0,4.09,4.09,0,0,0,0,0,0,20.43,4.09,0,65.38,0,0,0,4.09,4.09,461.76,16.35,0,0,0,0,0,0,0,0,0,0,0
72hpf,7.49,1.07,0,20.33,1.07,11.77,0,0,2.14,0,0,0,0,132.65,14.98,0,25.67,0,0,0,1.07,1052.67,166.89,31.02,1.07,0,110.19,4.28,0,48.14,0,3.21,0,0,0
21Day,2.68,0,0,49.53,0,1.34,1.34,0,0,0,2.68,0,0,53.54,6.69,0,6.69,0,0,1.34,2.68,20.08,8.03,9.37,1.34,0,14.72,2.68,0,0,1.34,9.37,0,0,2.68
3Month,0,0.96,0.96,50.55,0,0,0,1.6,1.28,0.32,10.88,1.6,1.92,0.64,1.28,0.96,3.52,0.64,0,7.04,3.84,1.28,0,124.78,1.28,0,1.6,4.48,8.96,1.92,0,0,0.32,4.16,0
22Month,0,6.56,2.73,39.36,0,0,0,4.92,3.83,3.28,97.85,1.09,22.41,2.73,2.19,6.01,6.01,0.55,6.01,4.37,0,1.09,0,139.4,0,1.09,0,0,8.75,0,0,0,0,0,4.92
