stage,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,6.42,1.07,0,0,0,0,0,1.07,0,4.28,33.16,0,1.07,0,0,8.56,3.21,0,1.07,0,0,0,0,0,0
21Day,58.9,0,1.34,0,0,1.34,0,0,0,5.35,60.23,0,5.35,1.34,0,4.02,1.34,1.34,0,0,0,1.34,0,0,4.02
3Month,21.12,0,0,0.64,0.32,8,0.32,0,0.96,2.56,0.96,0.32,1.28,0.32,0.32,0,0,0,0.96,5.12,0,0,1.6,0.32,0
22Month,1.09,0,0,0.55,0,1.64,0,0,0.55,0,0,0,0,0,0,0.55,0,0,0,0.55,0.55,0,0,0,0
