stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,T_cell
24hpf,4.09,0,0,8.17,0,0,0,0,0,0,4.09,0,4.09,8.17,0,0,8.17,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,18.19,0,0,0,2.14,0,0,1.07,0,0,0
21Day,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0,0,0.96,0,0,0,0,0,1.6,0.64,0,0,0,0,0,0,0,0,0.32,1.6,0.32
22Month,0,1.64,2.19,3.83,1.64,12.57,4.92,33.89,2.73,3.83,0,0.55,3.28,6.56,3.28,0,0,651.61,0,0,0,2.73
