stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_progenitor_cell,Radial_glia
24hpf,0,0,0,0,0,0,12.26,0
72hpf,0,1.07,0,0,0,0,4.28,1.07
21Day,0,0,0,0,1.34,1.34,0,0
22Month,0.55,1.09,1.09,0.55,0,0,0,0
