stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,2.14,1.07,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,1.07,73.82,2.14,0,0,0,0,0,1.07,0,0,0
21Day,0,0,9.37,5.35,0,1.34,0,0,0,0,0,0,2.68,0,0,1.34,24.09,0,0,64.25,1.34,1.34,0,10.71,2.68,0,0,2.68,0,1.34
3Month,0,0,2.24,0,0,0.32,0.64,0.32,0,4.8,0.32,0.32,0.64,0,0.64,0.64,1.92,0,0,0,0,0,0.32,0,0,1.28,0,0,0.32,0
22Month,0,1.09,1.64,0,0.55,0,0,2.19,1.09,48.11,1.09,0,2.73,0,0.55,2.73,3.83,2.19,0,0,0,0,0,0,0,1.64,0,0,0,1.09
