stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,8.17,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,0,0,0,1.07,0,0,0
21Day,0,2.68,1.34,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,2.68,0,0,0,0,0,0,10.71,0,0
3Month,0.64,2.56,0,0,0.32,0,0.64,0,7.36,0.32,2.88,0.96,0.96,0.96,1.28,0.32,0.32,0,0,0,0,1.28,16.32,0,0,5.76,0.96
22Month,1.09,2.73,0,0.55,0,0.55,1.09,2.73,33.89,1.09,3.83,0,1.64,1.09,0,0,0,0,0,1.64,0.55,0,1.09,0,0,0,0
