stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,T_cell
24hpf,12.26,4.09,0,0,0,0,0,12.26,0,8.17,0,0,0,0
72hpf,4.28,2.14,0,0,0,1.07,1.07,1.07,1.07,1.07,2.14,0,2.14,0
21Day,5.35,5.35,1.34,0,0,0,0,2.68,1.34,0,1.34,1.34,0,1.34
3Month,0,0,0,0.32,0.32,0,0,0,0,0,0,0,0,0
