stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,40.86,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,1.07,0,2.14,6.42,7.49,0,0,0,0,0,103.77,22.47,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,2.68,0,0,0,0,0,2.68,0,1.34,8.03,12.05,6.69,0,0,0,0,32.12,9.37,0,0,0,1.34,0,0,0,0,4.02,0,0,13.39
3Month,0.64,0,9.28,0,0.32,0.32,1.28,21.76,4.48,0.32,4.16,0.32,2.24,5.44,0.96,1.92,0,0.32,0.32,1.28,0.32,0.32,0.96,0,0,1.6,6.08,0,0,0,0.32,7.36,23.68
22Month,2.19,0.55,4.37,0,0.55,0.55,6.56,54.67,1.09,0.55,2.19,0,0.55,10.39,0.55,1.09,1.64,1.09,0,1.09,0,2.19,0.55,0.55,0,0,2.19,1.09,0.55,0,0,0,12.57
