stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.51,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,5.35,0,0,3.21,2.14,0,0,0,0,0,1.07,0,1.07,2.14,0,3.21,1.07,0,0,318.8,125.17,1.07,0,0,4.28,0,0,3.21,1.07,0,0,0,0,0
21Day,0,0,0,18.74,9.37,0,0,0,0,0,0,1.34,0,1.34,0,0,0,0,0,206.13,41.49,1.34,0,0,2.68,2.68,0,1.34,2.68,1.34,1.34,0,0,2.68
3Month,0,0.64,0,14.08,0,0.32,0.96,0.64,11.2,0,0.64,3.52,1.28,0.96,0.64,1.28,0,0.32,0.64,1.28,0,0.96,0.64,0,0,0.64,2.24,0,0,0,0,0.32,0.96,0.64
22Month,0.55,0,1.09,4.92,0,0,0.55,2.19,34.44,1.09,0,2.19,0,0.55,0.55,0.55,0.55,0,0,0.55,0,0.55,2.19,0.55,0,0,0,0,0,0,0,0,0,0.55
