stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,40.86,0,0,0,0,0,0,0,0,0,0,8.17,53.12,8.17,4.09,0,0,0,0,0,20.43,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,23.54,1.07,0,0,0,0,0,0,0,0,0,0,130.51,0,1.07,0,0,0,0,7.49,4.28,0,0,1.07,0,0,1.07,0,0,0
21Day,0,0,0,82.99,4.02,0,0,0,0,0,1.34,1.34,4.02,2.68,2.68,40.16,1.34,0,0,0,2.68,0,2.68,1.34,0,0,0,1.34,0,0,0,0,1.34
3Month,0,0.32,0.32,48.95,0,0.32,0.32,4.48,2.88,0,14.4,3.52,0.32,10.24,0.32,13.12,3.84,0.96,0.32,0,1.28,1.28,0.32,0,0.64,0.32,0,0.96,1.6,0,1.6,1.92,4.16
22Month,0.55,0,0,8.2,0,0.55,0,1.09,2.19,0.55,42.64,0,0,16.95,0,5.47,1.64,0.55,0,3.28,0.55,0.55,0,0,0,0.55,0,0,1.09,0,0,0,0.55
