stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,4.09,24.52,0,0,0,4.09,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,1.07,2.14,0,1.07,0,0,0,4.28,5.35,0,0,0,0,0,0,0,0,0,0
21Day,0,1.34,0,10.71,2.68,2.68,0,0,0,0,0,4.02,0,0,6.69,5.35,5.35,0,0,0,2.68,1.34,0,0,0,1.34,0,0,1.34,0,0,2.68
3Month,0.32,1.6,0.32,27.84,0,0.64,5.76,2.56,0,13.76,4.8,1.28,13.76,1.28,6.4,7.68,4.48,0.32,2.56,1.6,1.28,0.32,2.88,0.32,0,0.32,0.96,5.76,0.32,2.88,3.52,17.92
22Month,0,3.28,1.09,10.39,0,0.55,1.09,5.47,1.09,20.77,2.19,1.09,18.59,0,0,12.57,4.37,0.55,2.19,0,1.09,0,1.09,0,1.09,0,0,1.64,0.55,1.09,0,4.92
