stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,8.17,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,24.52,36.78,0,0,0,0,0,0,0,0,0,0
72hpf,14.98,6.42,4.28,2.14,18.19,0,0,0,0,0,0,0,0,1.07,51.35,2.14,60.98,0,0,4.28,2649.87,87.72,8.56,47.07,63.12,0,0,47.07,2.14,2.14,3.21,0
21Day,21.42,1.34,24.09,1.34,20.08,8.03,1.34,5.35,1.34,2.68,0,6.69,4.02,0,41.49,8.03,144.56,1.34,0,8.03,779.03,52.2,5.35,21.42,56.22,25.43,1.34,21.42,4.02,6.69,2.68,8.03
3Month,0,0.32,0.32,0,0,0,0.32,0,0,1.6,0,0,0.64,0,0.64,0.64,1.92,1.92,0,0,0.64,0,0,0,0.96,0.32,0.96,0,0,0,0,0.32
22Month,0.55,0,1.64,0,0,0,0,0.55,0,8.75,3.28,1.09,0,0,0,1.09,1.64,1.64,0.55,0.55,1.64,0,0,0,0,0,0,0,0,0,0.55,0.55
