stage,Hepatocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Primordial_germ_cell
21Day,0,0,0,14.72,0
3Month,0,0,0,4.16,0.32
22Month,1.64,0.55,0.55,0,0
