stage,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell
24hpf,0,0,0,0,0,0,0,0,4.09
72hpf,1.07,1.07,0,0,0,1.07,0,24.61,3.21
21Day,0,1.34,0,0,0,0,0,4.02,1.34
3Month,0.32,0,0.64,0,0,0,0,0,0
22Month,0,0,0,0.55,0.55,0,0.55,0,0
