stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell
24hpf,8.17,24.52,0,0,0,0,0,0,0,12.26,4.09,16.35,0,0,4.09,12.26,0,0,0,0,0,0,0
72hpf,1.07,1.07,9.63,0,0,0,0,0,0,5.35,0,5.35,0,0,7.49,2.14,1.07,7.49,0,0,0,0,0
21Day,2.68,13.39,10.71,2.68,0,6.69,0,1.34,1.34,4.02,0,5.35,0,1.34,4.02,4.02,0,9.37,1.34,1.34,4.02,1.34,17.4
3Month,0,0.96,0,0.32,0,0.64,0.64,0,0,0.64,0.64,0.32,0.32,0.32,0.64,0,0,0,0,0,0.32,0,0
22Month,0,0,0,0,0.55,1.09,0,0.55,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0
