stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2182.14,4.09,0,36.78,0,28.6,0,4.09,0,0,0,4.09,0,0,4.09,0,0,4.09,416.81,0,0,0,0,8.17,138.94,0,0,4.09,0,0,0,0,4.09,0,0,0
72hpf,364.8,0,0,5.35,1.07,1.07,0,0,0,0,0,0,0,0,0,1.07,4.28,0,11.77,0,1.07,0,0,49.21,10.7,1.07,0,3.21,0,0,3.21,1.07,0,0,0,0
21Day,203.46,0,0,13.39,0,2.68,0,0,0,0,0,0,1.34,0,2.68,0,2.68,5.35,10.71,0,0,2.68,0,2.68,2.68,1.34,0,4.02,1.34,0,0,0,1.34,0,0,2.68
3Month,25.6,0.32,0.64,9.6,0,0,0.32,0,0,0.64,0.96,0,5.76,1.6,1.6,0.32,0.32,1.92,2.88,1.28,0,0,0.32,1.92,0.64,0.32,0,0,0,1.92,0,0,0.32,0.32,2.24,0.96
22Month,19.68,1.64,0,14.21,0,0,0,0,2.73,4.92,8.75,0,68.88,0.55,2.19,2.19,0,4.37,5.47,0.55,2.19,2.19,1.64,0.55,0.55,0.55,0.55,0,0,0,0,0,0,0,0,1.09
