stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
72hpf,3.21,0,1.07,0,1.07,0,0,0,1.07,4.28,1.07,7.49,300.61,12.84,0,0,2.14,0,0,1.07,0,0
21Day,1.34,1.34,2.68,2.68,2.68,1.34,0,1.34,0,0,0,1.34,50.86,4.02,1.34,1.34,1.34,4.02,0,2.68,0,1.34
3Month,0,0,0,0,0,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22Month,0,0,0,0,0,0,0.55,0,0,0,0,0.55,0,0,0.55,0.55,0,0,1.09,0,0.55,0.55
