stage,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell
24hpf,0,0,4.09,0,0,0
72hpf,0,0,0,3.21,0,0
21Day,0,1.34,0,1.34,1.34,0
22Month,1.64,0,0,0,0,1.09
