stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,12.84,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,4.28,0,0,0,0,0,0,0,0,0,0,0
21Day,1.34,0,0,4.02,119.13,0,187.39,0,0,0,0,0,8.03,0,1.34,1.34,12.05,0,0,2.68,0,6.69,6.69,0,0,2.68,2.68,1.34,1.34,6.69,0,0,12.05
3Month,0,38.71,0.32,5.12,0,10.88,26.56,0.64,1.92,0,9.6,1.28,1.28,1.92,0.64,2.56,4.48,0.32,0,0.96,1.6,0,0,0.64,0,0,0.32,34.87,0.64,0,1.92,11.2,79.35
22Month,0,48.11,0,3.28,0,5.47,10.39,0.55,3.28,1.09,19.68,0.55,0,2.19,1.09,4.37,6.01,0,1.09,0.55,0,0,0,0.55,0.55,0,0,3.83,0,0,0,0,24.05
