stage,Epithelial_cell__Brain_,Hepatocyte,Keratinocyte,Mesenchymal_cell,Smooth_muscle_cell
24hpf,0,0,4.09,0,0
72hpf,1.07,0,1.07,0,0
21Day,2.68,0,0,0,0
3Month,0.64,0.64,0,0,0
22Month,0.55,1.64,0,1.09,0.55
