stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,0,12.26,0,0,0,0,77.64,0,0,0,0,0,0,0,0,0,0,0
72hpf,5.35,0,0,5.35,6.42,0,0,0,0,1.07,0,0,0,2.14,4.28,1.07,20.33,10.7,0,0,102.7,100.56,1.07,0,16.05,0,0,27.81,0,2.14,0,0,0
21Day,8.03,4.02,1.34,16.06,1.34,2.68,0,0,0,6.69,0,8.03,1.34,0,4.02,9.37,46.85,0,5.35,0,42.83,24.09,0,0,10.71,0,1.34,5.35,4.02,0,0,0,6.69
3Month,0,0.32,0.64,2.88,0,0,0.96,0.64,0,130.22,0.32,0,1.6,0.32,0.96,0,3.52,0.96,0.64,0.64,0,0,0,0.32,0.32,1.28,0.32,0,0,0,0.32,0.96,1.92
22Month,0.55,0,0,0.55,0,0,0.55,0.55,32.25,100.04,0,0,0,0,0,1.09,2.19,8.75,0,0,0,0.55,0,0,0,0,0.55,0,0,0,0,0,0.55
