stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,16.35,212.49,4.09,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,6.42,3.21,3.21,0,2.14,0,0,0,0,0,0,0,0,5.35,5.35,0,16.05,0,2.14,0,0,113.4,59.91,0,0,0,12.84,0,0,4.28,1.07,2.14,0,0,0
21Day,9.37,1.34,26.77,0,1.34,5.35,0,0,0,0,0,1.34,0,1.34,4.02,4.02,24.09,0,0,0,0,50.86,34.8,0,0,0,5.35,2.68,0,1.34,0,2.68,0,0,1.34
3Month,0,0.32,6.4,0.96,0,0.32,0.32,0.96,0,7.04,0.64,0,0.96,0.32,2.88,1.28,2.88,0.64,0,0.64,0.32,0.64,0,0.64,0.32,0,0,0,6.4,0.32,0,0,0.96,2.88,0
22Month,0.55,1.64,6.01,0,0,0,1.09,2.73,1.64,37.17,0.55,1.09,1.64,0,0,2.19,5.47,0.55,1.64,0,0,0,0,0,0,0.55,0,0,1.09,1.64,0,0,0.55,0,0.55
