stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,155.28,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,2.14,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,72.75,21.4,0,2.14,3.21,0,0,5.35,1.07,0,0,0
21Day,1.34,6.69,4.02,0,1.34,0,2.68,0,0,1.34,12.05,0,1.34,1.34,4.02,1.34,0,0,1.34,0,13.39,6.69,1.34,0,0,0,0,2.68,0,0,0,12.05
3Month,0.64,17.28,0,0.32,0,0.32,41.27,0,9.28,56.95,1.28,6.08,0.64,2.24,11.2,2.88,0.32,0,0.32,0.64,0,0.64,0.64,0.64,0.64,1.6,1.6,0.32,0,1.28,2.56,40.95
22Month,6.56,6.56,0,0,1.64,1.09,75.98,1.09,44.83,36.63,3.28,2.73,0,0.55,19.13,3.83,0,1.09,1.09,0.55,1.09,0.55,0.55,0.55,0,0,1.09,1.64,0,0.55,0,14.76
