stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,8.17,16.35,0,0,0,36.78,122.59,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,0,4.28,0,0,1.07,0,0,1.07,2.14,1.07,0,0,0,0,0,1.07,0,0,0
21Day,0,2.68,0,0,0,0,0,0,0,0,1.34,4.02,0,0,1.34,0,0,0,1.34,0,0,0,0,1.34,0,0,0,0,0,0
3Month,0.64,14.4,7.04,0,0.64,18.24,8.64,0,44.15,10.88,0,183.97,0.96,1.92,7.04,2.88,0.64,1.28,2.56,0.32,0,9.92,0.32,0.32,3.2,1.92,0,0.32,1.28,3.52
22Month,0.55,11.48,4.37,0,0,8.75,4.37,1.09,22.41,1.64,0,198.98,0,1.09,4.92,1.09,0,1.09,0,0,0,6.56,1.09,0,0,1.09,0,0,0,0.55
