stage,Granulocyte,Hepatocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,T_cell
24hpf,0,0,4.09,0,0,4.09,0
72hpf,0,0,0,0,2.14,0,0
21Day,0,0,0,1.34,0,0,0
3Month,0,0,0,0,0,0,0.96
22Month,1.09,1.64,0.55,0,0,0,0
