stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,4.09,0,12.26,0,0,0,0,4.09,44.95,0,0,4.09,0,0,0,0,0,0
72hpf,1.07,0,0,2.14,0,0,0,0,0,0,0,0,0,0,11.77,0,0,0,1.07,24.61,11.77,1.07,0,4.28,0,1.07,6.42,0,0,0
21Day,5.35,0,0,2.68,0,0,0,0,0,0,0,1.34,0,0,28.11,0,0,0,0,33.46,6.69,0,0,0,0,0,1.34,0,0,0
3Month,0.64,0,0,2.24,0.32,0,0.32,0,5.44,2.24,0.32,1.6,0.96,0.32,19.84,2.24,0,0.64,0.32,2.56,0,0.32,0,0,0.64,29.76,1.28,0.32,1.6,0.32
22Month,1.64,0.55,1.09,3.83,0,1.09,4.37,1.09,19.68,0,0.55,3.28,1.09,1.09,29.52,0,0.55,0,0,1.64,0,0,0.55,0,0,11.48,0,0,0,0
