stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Osteoblast,Pancreatic_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0
72hpf,0,0,0,1.07,1.07,0,0,0,0,0,0,0,4.28,0,4.28,0,1.07,2.14,0
21Day,5.35,0,0,4.02,0,0,0,0,0,0,1.34,0,21.42,0,111.1,0,1.34,0,4.02
3Month,0,0.96,0.32,0.32,0,0.32,0.32,0,0.64,0.32,0,0.32,5.76,0.32,8,0.32,0,0,0
22Month,0,1.09,0,0.55,0,0,0,2.19,0,0,0,0.55,4.92,0.55,3.28,0,0,0,0
