stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,32.69,0,32.69,0,0,0,0,0,0,0,0,0,0,0,0,4.09,8.17,261.53,0,0,12.26,98.07,73.56,0,0,0,24.52,0,0,0,0,8.17,0,0,0
72hpf,7.49,117.68,0,2.14,3.21,2.14,0,0,0,0,0,0,0,0,0,0,14.98,0,115.54,0,28.88,6.42,35.3,20.33,0,0,0,93.07,0,1.07,2.14,0,22.47,0,0,0
21Day,5.35,58.9,0,6.69,2.68,6.69,0,0,0,0,0,0,0,0,0,0,8.03,1.34,128.5,1.34,113.78,0,18.74,2.68,0,0,0,60.23,2.68,2.68,0,2.68,4.02,5.35,0,0
3Month,0.96,70.71,0.32,26.24,0.32,0,0.64,0.32,0.64,1.92,0.64,13.44,3.2,0.32,5.76,1.6,1.6,3.2,69.11,24,18.88,0.64,1.28,0.32,1.28,0.96,0,2.24,1.92,44.47,0.32,0,0.32,236.76,39.03,3.2
22Month,0.55,149.24,0,8.75,0,0,2.19,0.55,1.09,2.73,8.2,21.32,0,0.55,1.64,1.09,0,1.09,98.94,5.47,33.89,0,2.19,0.55,1.09,0.55,0.55,6.01,0,12.03,1.09,0,0,46.47,0,0.55
