stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,4.09,0,0,0,8.17,4.09,126.68,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,3.21,12.84,0,0,0,0,0,0,0,0,0,0,0,1.07,0,1.07,0,0,0,0,28.88,14.98,0,0,0,4.28,0,0,7.49,0,0,0,0
21Day,0,0,0,6.69,8.03,1.34,0,0,0,0,0,1.34,0,0,0,1.34,2.68,0,4.02,0,1.34,0,0,14.72,5.35,0,1.34,0,8.03,0,4.02,0,2.68,0,0,0
3Month,0.64,4.48,1.28,75.83,7.36,0,0.64,0.32,0.32,7.04,1.92,24.64,5.12,0.64,8,15.68,8,4.16,8,3.2,0,2.24,4.8,16.32,1.6,1.28,1.6,0,0,3.52,128.62,1.92,1.6,2.56,828.35,3.52
22Month,0,1.09,0,27.33,1.09,0,0,1.09,0,1.64,3.83,25.69,0.55,0,4.37,2.73,0,2.19,4.37,0.55,0.55,0.55,1.09,3.28,0,0,0,0.55,0.55,0,56.31,0.55,0.55,0,5.47,2.19
