stage,Epithelial_cell,Hepatocyte,Immune_cell,Macrophage,Mesenchymal_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,8.17,0,0
72hpf,0,0,0,0,1.07,0,0
21Day,1.34,0,0,1.34,0,0,0
3Month,0,0.32,0.32,0,0,0.32,0.96
22Month,0,1.09,0,0,0.55,0,0
