stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,2.14,0,0,0,0,4.28,3.21,0,0,0,0,0,0,0,0
21Day,1.34,0,0,1.34,0,0,0,0,0,0,0,0,0,1.34,0,6.69,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0
3Month,0,1.6,1.6,17.6,0.32,15.04,1.28,0,27.2,2.88,0.32,26.24,2.24,2.24,5.76,3.52,0.64,0,3.2,0.96,0.96,0,1.6,0,0,16,0.32,1.28,3.2,1.92
22Month,0,2.73,0,7.65,0,3.83,2.19,2.19,47.01,0.55,0.55,14.76,0.55,1.09,7.11,14.21,1.09,2.73,1.09,0,1.09,0,0.55,1.09,0.55,4.37,0,1.09,0,0.55
