stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,32.69,0,0,0,0,44.95,0,0,4.09,0,0,0,0,0,0
72hpf,16.05,1.07,0,8.56,5.35,6.42,0,0,0,0,0,0,0,0,0,0,1.07,10.7,3.21,11.77,0,0,0,962.81,40.65,2.14,2.14,20.33,0,1.07,10.7,0,0,0
21Day,8.03,0,0,10.71,1.34,10.71,0,1.34,0,0,0,0,0,0,5.35,0,0,14.72,8.03,6.69,0,0,1.34,311.88,13.39,1.34,2.68,6.69,8.03,1.34,6.69,6.69,0,2.68
3Month,0,1.92,0,2.24,0,0,0,0,0.64,0.32,0.96,0,3.52,0.32,0,1.6,0,1.92,1.92,4.48,0.32,0,0.64,31.36,0.64,5.12,0.32,0.32,0.32,6.72,0.96,0,8,0.64
22Month,0,2.73,0.55,1.09,0,0,0.55,0,1.64,0.55,0,0.55,13.12,0,0,1.64,0,0.55,1.64,10.39,0,1.09,0,9.29,0,7.11,0.55,0,0,20.77,0,0,1.09,0.55
