stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,224.75,0,0,0,0,0,0,4.09,20.43,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,0,0,0,3.21,1.07,0,0,0,0,0,0,0,1.07,1.07,14.98,0,0,0,0,0,0,1.07,1.07,0,0,3.21,0,0,1.07,0,0,0,0,0
21Day,1.34,0,0,9.37,1.34,0,0,0,0,0,0,1.34,6.69,1.34,1.34,0,1.34,0,0,0,0,8.03,1.34,0,0,1.34,0,1.34,0,0,0,0,0,1.34
3Month,0,1.6,10.56,85.75,0,2.56,4.48,2.24,0,39.03,5.76,0,297.55,2.88,5.44,2.88,12.16,2.88,0,0.32,3.84,1.28,0.32,1.92,0,0.64,5.12,25.28,0.32,0,0,1.6,3.2,3.52
22Month,0,0.55,4.37,5.47,0,0.55,5.47,3.28,1.64,74.35,0,0,182.58,0,1.64,3.28,9.29,1.09,2.73,0,0,1.09,0,0,0.55,0,0,10.39,0,0.55,0,1.09,0,1.09
