stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,3.21,0,0,0
21Day,0,0,0,0,2.68,0,0,0,0,1.34,0,0,0
3Month,0.32,0.32,2.56,12.8,0.32,0.32,0.64,3.84,0.32,0,1.28,0.64,3.2
22Month,0,0,0,2.19,0,0,0,0,0,0,0,0,0
