stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,0,1.07,0,1.07,17.12,2.14,0,0,0,2.14,0
21Day,1.34,1.34,1.34,1.34,0,1.34,4.02,1.34,0,0,6.69,0,0,0,0,18.74,1.34,1.34,1.34,0,1.34,0
3Month,0,0,0.64,0,0,0,0.32,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0
22Month,0.55,0.55,1.64,0,0.55,2.19,12.57,1.09,1.09,1.64,6.56,0,0.55,0.55,0,0.55,0,0,0,1.09,0,0.55
