stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,114.42,0,0,0,253.36,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,6.42,14.98,0,2.14,9.63,0,0,0,0,0,0,0,0,0,0,1.07,13.91,1.07,37.44,0,0,0,518.85,21.4,0,4.28,0,184,0,0,3.21,0,0,0,0,0,0
21Day,4.02,12.05,1.34,18.74,6.69,0,2.68,0,0,1.34,0,1.34,0,2.68,1.34,0,5.35,0,30.79,0,10.71,0,275.74,6.69,0,0,0,32.12,10.71,0,0,1.34,6.69,0,2.68,0,4.02
3Month,0.96,29.76,0.32,15.36,0,0.96,0.96,1.92,4.16,0,0,5.44,3.52,0,5.76,1.28,3.2,2.56,12.8,3.52,7.36,1.28,16.32,0,0.64,0.96,0,32.95,0.32,4.48,0.64,0,0,0.32,308.75,0.96,2.56
22Month,0,66.15,0,22.96,0,0,0,1.64,3.28,1.09,0,16.95,0.55,0,2.19,0,1.09,1.64,3.28,2.19,0,0,10.39,0,0,0,0.55,26.24,0,1.09,0,0,0,0,50.29,0,1.64
