stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Muscle_cell,Nephron_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
3Month,0.32,0.32,0.32,1.28,0.32,0.32,0.32,0.32,0.32,0.32,1.92,10.24
22Month,0,0,0,0,0,0,0,0,0,0,1.64,0
