stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,4.09,0,0,0,0,0,28.6,0,0,0,0,0,0,4.09,12.26,0,0,0,0,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,1.07,1.07,0,0,0,0,2.14,0,0,0,0,0,5.35,3.21,3.21,0,0,0,0,17.12,10.7,0,1.07,0,3.21,0,0,1.07,0,1.07,0,0,0
21Day,4.02,0,12.05,9.37,9.37,2.68,0,0,0,2.68,1.34,6.69,1.34,0,1.34,6.69,14.72,0,0,2.68,0,8.03,5.35,0,0,0,4.02,2.68,0,0,1.34,1.34,0,0,4.02
3Month,3.2,2.56,24.32,0,0,13.76,8.96,0,0,72.95,17.92,1.92,9.6,1.92,8,22.72,5.12,0.96,0,9.6,8.32,1.28,0.32,4.8,0.64,0,0,2.88,22.72,0.96,0.32,0,0.96,7.04,5.44
22Month,2.19,1.64,6.01,0,0.55,5.47,14.76,6.01,0,232.33,12.57,6.01,10.93,0.55,1.09,12.57,6.56,0.55,1.09,3.83,1.09,0,0,1.64,1.09,0.55,1.09,1.64,4.92,1.64,0.55,0,0,0,3.83
