stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,1.07,0,1.07,0,0,0,0,1.07,0,0,0,0,99.49,9.63,0,0,3.21,0,0,0,0,0,0,0
21Day,0,0,0,2.68,0,0,0,0,0,0,0,0,1.34,0,0,1.34,0,2.68,0,0,1.34,0,38.82,4.02,0,0,2.68,2.68,2.68,0,0,0,1.34,0
3Month,0.32,0.96,0.96,21.44,0.64,0.32,0.64,1.6,4.8,0.32,24.32,7.04,1.28,10.56,1.28,8.64,5.12,6.08,0.96,0,1.28,3.2,6.08,0.32,0.32,1.28,0.32,4.48,565.35,0.32,0.32,4.16,816.83,3.2
22Month,0,1.09,0.55,2.73,1.09,0,0,1.09,1.09,1.09,36.63,1.09,0.55,3.83,0.55,0.55,2.73,2.19,0,1.09,0,0,5.47,0,0,0.55,0.55,0,45.92,1.09,0,0,4.92,1.09
