stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,4.09,257.44,0,0,8.17,0,0,0,0,0,0
72hpf,1.07,1.07,1.07,3.21,0,0,0,0,0,0,1.07,6.42,0,25.67,1.07,0,315.59,41.72,1.07,3.21,20.33,0,5.35,1.07,0,1.07,0
21Day,2.68,0,17.4,6.69,1.34,1.34,5.35,0,8.03,0,1.34,4.02,1.34,121.81,0,4.02,396.21,53.54,1.34,0,50.86,16.06,6.69,25.43,40.16,0,1.34
3Month,0,0,0,0,0,0.32,0.32,0.32,0,0.64,0,0.32,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0.32
22Month,0,0,0.55,0,0.55,0.55,4.37,0,0,1.09,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0
