stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0,28.6,4.09,0,20.43,0,0,0,12.26,16.35,429.07,8.17,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,11.77,21.4,3.21,0,0,0,0,0,0,0,0,0,0,1.07,9.63,0,9.63,0,1.07,0,1.07,55.63,28.88,0,0,2.14,0,0,0,34.23,0,1.07,0,0,0
21Day,0,0,0,4.02,9.37,1.34,0,1.34,0,0,0,0,1.34,0,1.34,1.34,0,8.03,0,4.02,0,0,1.34,0,29.45,13.39,0,0,1.34,2.68,0,2.68,8.03,1.34,1.34,0,0,1.34
3Month,1.28,4.8,3.84,146.54,6.08,0,0.96,1.6,0.96,3.84,14.72,0.32,52.47,12.48,2.24,14.08,37.11,13.44,9.28,19.2,2.88,0,1.28,15.04,80.63,1.6,9.6,1.28,0.64,6.08,0.32,459.13,1.6,0,2.88,3.84,1765.16,9.28
22Month,0.55,24.6,4.92,106.6,1.09,0,0.55,0,0,3.28,27.88,12.57,144.86,1.09,2.19,23.51,5.47,1.09,22.41,33.89,2.19,8.75,3.28,1.64,34.44,2.73,4.37,0.55,0,1.09,0,197.34,13.67,0,1.09,0,10.93,2.73
