stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,4.09,0,0,0,0,0,0,0,0,4.09,12.26,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,1.07,0,0,4.28,0,2.14,0,0,0,2.14,0,0,0,0
21Day,1.34,0,1.34,0,0,0,0,0,4.02,0,4.02,0,0,1.34,0,0,0,0,1.34
3Month,0,0.32,2.56,0.32,0.64,0,0.64,0.32,0.64,0.64,0.32,0,0,0,0,8,0.64,11.2,0
