stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,3.21,2.14,0,0,0,0,0,0,0,0,3.21,0,0,1.07,0,1.07,1.07,0,97.35,13.91,95.21,0,0,1.07,0,0,0,0,0,1.07,0,0,0
21Day,20.08,0,0,44.17,1.34,0,0,0,0,0,0,2.68,0,1.34,10.71,0,5.35,0,0,1.34,0,211.49,9.37,259.68,0,0,1.34,4.02,0,0,0,1.34,0,0,0,2.68
3Month,0.32,3.2,0.96,37.43,0,1.28,3.84,7.36,0,36.15,31.99,0.64,27.84,2.24,8.32,5.12,15.36,1.92,0.32,1.28,3.2,7.04,0,1420.89,0,0,0.32,4.8,9.28,0,0,0,0,0.32,10.56,6.72
22Month,0,6.01,1.64,22.41,0,0.55,14.76,4.92,1.64,69.43,4.92,1.09,86.37,1.64,2.73,4.37,8.75,0,1.64,1.09,0,2.73,0.55,1762.96,3.28,0.55,0.55,1.09,27.33,1.64,1.09,0,0,0,0,2.19
