stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,8.17,0,36.78,0,0,0,0,0,0,0,0,0,0,0,12.26,0,4.09,306.48,0,4.09,0,4.09,8.17,412.73,0,36.78,0,0,0,0,4.09,0,0,0
72hpf,5.35,3.21,0,2.14,1.07,3.21,0,0,0,0,0,0,0,0,0,2.14,14.98,0,324.15,0,1.07,2.14,0,26.74,16.05,0,258.89,1.07,0,3.21,1.07,5.35,0,0,0
21Day,14.72,1.34,0,5.35,0,5.35,0,0,0,0,0,1.34,0,1.34,0,0,6.69,1.34,317.23,0,0,10.71,0,13.39,10.71,0,135.19,16.06,0,0,1.34,1.34,0,0,2.68
3Month,0.32,0,0.32,5.44,0,0,0.32,0.32,0.32,2.56,0,3.52,0.64,0,0.64,0.64,1.6,0.64,27.52,7.68,0,0.32,0.96,0.64,0.32,0,0,0.64,4.48,0.32,0,0.32,0.96,1.92,0.32
22Month,0,2.73,0,3.28,0,0,0.55,0,0.55,1.64,0.55,15.31,0,0.55,0,0.55,0,1.09,27.33,5.47,0,0.55,0,0,0,0.55,0,0,1.09,0,0,0,0,0,0.55
