stage,Cardiomyocyte,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,4.09,0,4.09,4.09,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,1.07,1.07,0,1.07,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,1.34,0,0,0,2.68,0,0,0,0,1.34,0,0,0
3Month,0,0.32,0,0.32,1.6,0.64,0,0.32,0.64,0.32,0.64,0,0,0,0.32,0,0,0,0,0,0.32
22Month,0,0.55,1.64,2.73,15.31,0.55,1.09,1.64,1.09,1.64,1.09,0,0,0,0,0.55,0.55,0,0.55,0.55,0
