stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,24.52,0,0,0,8.17,12.26,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,1.07,7.49,0,0,0,0,0,0,1.07,0,0,14.98,0,1.07,0,39.58,12.84,0,9.63,0,1.07,0,1.07,0,0,0,0
21Day,2.68,0,0,1.34,8.03,5.35,0,1.34,0,0,0,0,1.34,0,25.43,0,1.34,0,8.03,5.35,0,2.68,0,0,1.34,0,1.34,0,0,0
3Month,0,0.32,0.32,1.92,0,0,0.64,0.32,4.8,0.64,1.6,0,0.64,0.32,5.12,0.64,0.64,1.6,0.64,0.32,0.64,0,0.96,13.44,0,0,0,1.28,10.24,0.32
22Month,0,1.09,0,0.55,0,0,0,0.55,18.04,0,2.73,0,0,0,2.19,0,0,0,0,0,0,0,0,6.56,0,0,0,0,0,0
