stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,935.79,0,0,4.09,0,0,0,4.09,0,0,0,0,4.09,0,4.09,20.43,0,0,0,0,0,85.81,0,0,0,0,0,0,0,0,0,0
72hpf,549.87,0,0,2.14,3.21,0,0,0,0,0,0,0,0,4.28,1.07,7.49,0,0,0,0,28.88,14.98,1.07,4.28,0,0,1.07,0,1.07,0,0,0
21Day,469.83,0,1.34,5.35,5.35,1.34,1.34,0,0,0,1.34,0,1.34,1.34,1.34,10.71,0,0,2.68,0,12.05,6.69,1.34,4.02,5.35,0,1.34,2.68,0,0,0,2.68
3Month,4.16,0.64,0,1.6,0,0,0.64,0,1.6,0.64,0,0.96,0,0,0.32,0.32,0.32,0,0,0.32,0,0,0.32,0,0,9.6,0,0,0,0.32,0.32,0
22Month,0.55,0,0,0.55,0,0,0,0,2.73,0,0.55,0,0,0,0,0.55,0,0.55,0,0,0,0,0.55,0,0,12.57,0.55,0,0,0,0,0
