stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,2.14,0,1.07,0,0,0,13.91,2.14,0,1.07,0,1.07,0,0,0,0
21Day,0,8.03,1.34,2.68,1.34,0,1.34,0,0,0,2.68,0,8.03,0,1.34,0,2.68,2.68,1.34,1.34,0,0,1.34,0,0,2.68
3Month,0,1.6,0,0,0,0,0,0.96,0,0.96,0.32,1.6,0.32,0,0,0.32,0,0,0,0,2.24,0,0,0.32,0.64,0.64
22Month,0.55,1.64,0,0,0,0.55,3.83,10.39,0.55,8.75,0.55,1.64,0,0.55,0,0,0.55,0,0,0,0.55,0.55,0,0,0,0
