stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,1.07,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0
21Day,0,0,0,1.34,0,0,0,0,5.35,0,0,8.03,0,0,0,2.68,0,0,0,1.34,1.34,0,0,1.34,0,0,0,0,0,0
3Month,0.32,0.64,4.8,25.28,1.28,10.56,2.88,0,386.18,2.24,0.32,291.15,0.96,1.92,1.6,4.48,1.28,2.88,2.24,1.28,7.36,1.28,0,6.4,4.16,0,0.32,1.92,2.88,1.28
22Month,0.55,0,2.73,8.75,2.19,5.47,3.28,1.64,360.79,1.64,0,329.09,0,1.09,1.64,4.92,5.47,1.64,0.55,0,6.01,1.09,0.55,0.55,1.64,0,0,0,0,2.73
