stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,2.14,0,0,12.84,1.07,0,0,0,0,0,0,0,75.96,0,2.14,0,0,0,5.35,2.14,2.14,0,6.42,0,0,0
21Day,0,0,0,12.05,0,1.34,0,0,0,0,4.02,0,9.37,0,14.72,0,0,0,1.34,1.34,4.02,0,4.02,0,0,0
3Month,0,0.64,0.32,5.44,0,0,0.32,0.64,2.24,0.64,0,0.64,8.32,2.88,1.6,0.64,0.64,0.32,0,0,0,12.8,0,0.64,12.16,0
22Month,0,0,0.55,0.55,0,0,0,0,4.92,0,0.55,1.64,2.19,0.55,1.09,0,0,0,0.55,0,0,3.28,9.84,0,0,0.55
