stage,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,T_cell
24hpf,4.09,0,0,0,0,0,0,0,20.43,0,0,0
72hpf,0,0,0,0,0,0,2.14,2.14,3.21,1.07,0,0
21Day,1.34,2.68,0,1.34,1.34,1.34,0,1.34,2.68,1.34,1.34,0
3Month,0,0,0.64,0,0.96,0,0,0,0,0,0,0.32
