stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,24.52,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,1.07,0,1.07,0,0,0,0,0,0,0,0,2.14,0,0,1.07,1.07,2.14,0,0,0,0,97.35,7.49,0,0,2.14,0,0,1.07,0,0,0,0,0
21Day,0,2.68,4.02,1.34,2.68,0,1.34,0,0,0,0,0,0,13.39,0,0,1.34,0,24.09,0,0,8.03,0,20.08,2.68,8.03,4.02,4.02,0,0,1.34,1.34,0,0,0,0
3Month,0.32,4.48,6.08,0,0,0.32,0.32,0.64,0.96,0.96,0,14.08,0.96,11.2,2.24,0.32,0.64,3.84,37.11,12.48,0,3.84,1.6,4.8,1.28,6.72,0.32,0.64,0,21.12,0.32,0,0.64,1.6,1.6,1.92
22Month,0,2.73,4.92,0,0,0.55,1.09,0.55,1.09,2.19,0.55,112.61,0.55,24.6,2.73,0,1.09,6.56,34.44,0,2.73,0,0,4.92,1.09,1.64,1.64,0,0.55,6.01,0,0,1.09,0.55,0,1.09
