stage,Cardiomyocyte,Epithelial_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell
24hpf,0,0,0,0,0,4.09,0,0
72hpf,0,0,1.07,0,0,3.21,1.07,0
21Day,4.02,1.34,0,1.34,0,0,0,1.34
3Month,0,0.32,0.32,0,0,0,0,0.96
22Month,0.55,0,0,0,0.55,0,0,3.83
