stage,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,0,0,0,0,0,0
21Day,0,1.34,1.34,0,0,0,1.34,0,0,1.34,0,0,0,0,1.34,0,1.34,0,0,0,0,0
3Month,0.32,3.2,0,0.64,4.48,0.64,0,3.2,1.28,0.96,0.32,0.64,0.32,0,0,0,0,0.32,0.32,0.64,0.32,0.96
22Month,0,0.55,0,0,7.11,0,0.55,3.28,0,0.55,1.09,0,0.55,0,0,0.55,0,0,0,0,0,0
